path,label
D:\coral_patches\porites\3274.jpg,porites
D:\coral_patches\macroalgae\23168.jpg,macroalgae
D:\coral_patches\turf\10082.jpg,turf
D:\coral_patches\porites\5191.jpg,porites
D:\coral_patches\sand\26216.jpg,sand
D:\coral_patches\off\28845.jpg,off
D:\coral_patches\off\15063.jpg,off
D:\coral_patches\crustose_coralline_algae\11292.jpg,crustose_coralline_algae
D:\coral_patches\sand\21891.jpg,sand
D:\coral_patches\sand\39740.jpg,sand
D:\coral_patches\crustose_coralline_algae\23574.jpg,crustose_coralline_algae
D:\coral_patches\sand\29701.jpg,sand
D:\coral_patches\off\40292.jpg,off
D:\coral_patches\turf\57003.jpg,turf
D:\coral_patches\sand\5625.jpg,sand
D:\coral_patches\turf\30842.jpg,turf
D:\coral_patches\crustose_coralline_algae\52314.jpg,crustose_coralline_algae
D:\coral_patches\turf\59206.jpg,turf
D:\coral_patches\sand\47219.jpg,sand
D:\coral_patches\sand\28040.jpg,sand
D:\coral_patches\sand\44298.jpg,sand
D:\coral_patches\off\19607.jpg,off
D:\coral_patches\porites\4895.jpg,porites
D:\coral_patches\crustose_coralline_algae\59957.jpg,crustose_coralline_algae
D:\coral_patches\off\37886.jpg,off
D:\coral_patches\turf\31933.jpg,turf
D:\coral_patches\macroalgae\48342.jpg,macroalgae
D:\coral_patches\turf\53081.jpg,turf
D:\coral_patches\turf\4403.jpg,turf
D:\coral_patches\sand\42124.jpg,sand
D:\coral_patches\macroalgae\17093.jpg,macroalgae
D:\coral_patches\porites\418.jpg,porites
D:\coral_patches\porites\21565.jpg,porites
D:\coral_patches\macroalgae\36611.jpg,macroalgae
D:\coral_patches\turf\51975.jpg,turf
D:\coral_patches\off\36752.jpg,off
D:\coral_patches\sand\13922.jpg,sand
D:\coral_patches\crustose_coralline_algae\8067.jpg,crustose_coralline_algae
D:\coral_patches\off\10974.jpg,off
D:\coral_patches\off\47688.jpg,off
D:\coral_patches\turf\26949.jpg,turf
D:\coral_patches\macroalgae\29932.jpg,macroalgae
D:\coral_patches\macroalgae\7516.jpg,macroalgae
D:\coral_patches\sand\45585.jpg,sand
D:\coral_patches\sand\11284.jpg,sand
D:\coral_patches\porites\15057.jpg,porites
D:\coral_patches\porites\5556.jpg,porites
D:\coral_patches\turf\41021.jpg,turf
D:\coral_patches\off\21848.jpg,off
D:\coral_patches\crustose_coralline_algae\1498.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\42705.jpg,macroalgae
D:\coral_patches\turf\23575.jpg,turf
D:\coral_patches\turf\36925.jpg,turf
D:\coral_patches\turf\45059.jpg,turf
D:\coral_patches\turf\54411.jpg,turf
D:\coral_patches\sand\19679.jpg,sand
D:\coral_patches\sand\1610.jpg,sand
D:\coral_patches\off\44420.jpg,off
D:\coral_patches\macroalgae\8144.jpg,macroalgae
D:\coral_patches\off\387.jpg,off
D:\coral_patches\off\40242.jpg,off
D:\coral_patches\off\23239.jpg,off
D:\coral_patches\sand\39892.jpg,sand
D:\coral_patches\macroalgae\58318.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\21771.jpg,crustose_coralline_algae
D:\coral_patches\off\28306.jpg,off
D:\coral_patches\off\4603.jpg,off
D:\coral_patches\off\48057.jpg,off
D:\coral_patches\sand\20943.jpg,sand
D:\coral_patches\sand\38235.jpg,sand
D:\coral_patches\sand\10625.jpg,sand
D:\coral_patches\turf\57147.jpg,turf
D:\coral_patches\macroalgae\10253.jpg,macroalgae
D:\coral_patches\sand\20010.jpg,sand
D:\coral_patches\turf\23087.jpg,turf
D:\coral_patches\crustose_coralline_algae\25279.jpg,crustose_coralline_algae
D:\coral_patches\sand\4958.jpg,sand
D:\coral_patches\crustose_coralline_algae\6785.jpg,crustose_coralline_algae
D:\coral_patches\off\53894.jpg,off
D:\coral_patches\porites\24782.jpg,porites
D:\coral_patches\macroalgae\50710.jpg,macroalgae
D:\coral_patches\sand\41801.jpg,sand
D:\coral_patches\turf\39034.jpg,turf
D:\coral_patches\crustose_coralline_algae\30829.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\15083.jpg,crustose_coralline_algae
D:\coral_patches\off\8281.jpg,off
D:\coral_patches\porites\27880.jpg,porites
D:\coral_patches\turf\22861.jpg,turf
D:\coral_patches\crustose_coralline_algae\12474.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\2650.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\13181.jpg,crustose_coralline_algae
D:\coral_patches\sand\45462.jpg,sand
D:\coral_patches\off\37103.jpg,off
D:\coral_patches\turf\44602.jpg,turf
D:\coral_patches\sand\25830.jpg,sand
D:\coral_patches\crustose_coralline_algae\11333.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\17505.jpg,macroalgae
D:\coral_patches\turf\58027.jpg,turf
D:\coral_patches\crustose_coralline_algae\20728.jpg,crustose_coralline_algae
D:\coral_patches\sand\16412.jpg,sand
D:\coral_patches\porites\49524.jpg,porites
D:\coral_patches\sand\24891.jpg,sand
D:\coral_patches\porites\43815.jpg,porites
D:\coral_patches\crustose_coralline_algae\2716.jpg,crustose_coralline_algae
D:\coral_patches\off\20167.jpg,off
D:\coral_patches\macroalgae\29198.jpg,macroalgae
D:\coral_patches\macroalgae\12779.jpg,macroalgae
D:\coral_patches\off\10425.jpg,off
D:\coral_patches\macroalgae\18533.jpg,macroalgae
D:\coral_patches\macroalgae\35497.jpg,macroalgae
D:\coral_patches\porites\36365.jpg,porites
D:\coral_patches\turf\56065.jpg,turf
D:\coral_patches\crustose_coralline_algae\20959.jpg,crustose_coralline_algae
D:\coral_patches\off\39210.jpg,off
D:\coral_patches\crustose_coralline_algae\14869.jpg,crustose_coralline_algae
D:\coral_patches\porites\17094.jpg,porites
D:\coral_patches\off\7410.jpg,off
D:\coral_patches\porites\21971.jpg,porites
D:\coral_patches\macroalgae\5950.jpg,macroalgae
D:\coral_patches\off\43714.jpg,off
D:\coral_patches\sand\36180.jpg,sand
D:\coral_patches\sand\44152.jpg,sand
D:\coral_patches\sand\51348.jpg,sand
D:\coral_patches\macroalgae\27661.jpg,macroalgae
D:\coral_patches\macroalgae\32952.jpg,macroalgae
D:\coral_patches\porites\53902.jpg,porites
D:\coral_patches\crustose_coralline_algae\1774.jpg,crustose_coralline_algae
D:\coral_patches\sand\3068.jpg,sand
D:\coral_patches\turf\33169.jpg,turf
D:\coral_patches\sand\17113.jpg,sand
D:\coral_patches\turf\11578.jpg,turf
D:\coral_patches\turf\33026.jpg,turf
D:\coral_patches\sand\44467.jpg,sand
D:\coral_patches\crustose_coralline_algae\6976.jpg,crustose_coralline_algae
D:\coral_patches\off\6858.jpg,off
D:\coral_patches\porites\20015.jpg,porites
D:\coral_patches\off\1691.jpg,off
D:\coral_patches\sand\42143.jpg,sand
D:\coral_patches\crustose_coralline_algae\10263.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\14441.jpg,macroalgae
D:\coral_patches\porites\40558.jpg,porites
D:\coral_patches\off\104.jpg,off
D:\coral_patches\sand\33865.jpg,sand
D:\coral_patches\off\12530.jpg,off
D:\coral_patches\macroalgae\30238.jpg,macroalgae
D:\coral_patches\macroalgae\56030.jpg,macroalgae
D:\coral_patches\off\15517.jpg,off
D:\coral_patches\sand\28836.jpg,sand
D:\coral_patches\turf\11121.jpg,turf
D:\coral_patches\sand\6658.jpg,sand
D:\coral_patches\sand\14841.jpg,sand
D:\coral_patches\crustose_coralline_algae\1421.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\17670.jpg,macroalgae
D:\coral_patches\off\36630.jpg,off
D:\coral_patches\porites\24426.jpg,porites
D:\coral_patches\porites\28157.jpg,porites
D:\coral_patches\crustose_coralline_algae\58533.jpg,crustose_coralline_algae
D:\coral_patches\off\38640.jpg,off
D:\coral_patches\turf\45231.jpg,turf
D:\coral_patches\porites\48047.jpg,porites
D:\coral_patches\crustose_coralline_algae\32791.jpg,crustose_coralline_algae
D:\coral_patches\sand\39099.jpg,sand
D:\coral_patches\macroalgae\17606.jpg,macroalgae
D:\coral_patches\macroalgae\51344.jpg,macroalgae
D:\coral_patches\sand\47085.jpg,sand
D:\coral_patches\sand\16490.jpg,sand
D:\coral_patches\porites\46952.jpg,porites
D:\coral_patches\porites\16750.jpg,porites
D:\coral_patches\sand\19000.jpg,sand
D:\coral_patches\crustose_coralline_algae\44905.jpg,crustose_coralline_algae
D:\coral_patches\turf\52029.jpg,turf
D:\coral_patches\macroalgae\4421.jpg,macroalgae
D:\coral_patches\porites\26399.jpg,porites
D:\coral_patches\off\14384.jpg,off
D:\coral_patches\crustose_coralline_algae\54857.jpg,crustose_coralline_algae
D:\coral_patches\porites\49387.jpg,porites
D:\coral_patches\crustose_coralline_algae\1950.jpg,crustose_coralline_algae
D:\coral_patches\porites\33396.jpg,porites
D:\coral_patches\turf\20650.jpg,turf
D:\coral_patches\off\47152.jpg,off
D:\coral_patches\porites\41256.jpg,porites
D:\coral_patches\sand\56767.jpg,sand
D:\coral_patches\crustose_coralline_algae\35249.jpg,crustose_coralline_algae
D:\coral_patches\turf\31374.jpg,turf
D:\coral_patches\macroalgae\497.jpg,macroalgae
D:\coral_patches\macroalgae\32797.jpg,macroalgae
D:\coral_patches\sand\27701.jpg,sand
D:\coral_patches\macroalgae\23260.jpg,macroalgae
D:\coral_patches\macroalgae\12212.jpg,macroalgae
D:\coral_patches\macroalgae\57059.jpg,macroalgae
D:\coral_patches\sand\30266.jpg,sand
D:\coral_patches\porites\46781.jpg,porites
D:\coral_patches\off\53751.jpg,off
D:\coral_patches\off\36959.jpg,off
D:\coral_patches\porites\47369.jpg,porites
D:\coral_patches\turf\11158.jpg,turf
D:\coral_patches\sand\20364.jpg,sand
D:\coral_patches\turf\4006.jpg,turf
D:\coral_patches\porites\58104.jpg,porites
D:\coral_patches\off\51303.jpg,off
D:\coral_patches\crustose_coralline_algae\52035.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\48429.jpg,macroalgae
D:\coral_patches\macroalgae\35765.jpg,macroalgae
D:\coral_patches\macroalgae\35004.jpg,macroalgae
D:\coral_patches\sand\9870.jpg,sand
D:\coral_patches\sand\13359.jpg,sand
D:\coral_patches\macroalgae\31386.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\39330.jpg,crustose_coralline_algae
D:\coral_patches\porites\6288.jpg,porites
D:\coral_patches\porites\20958.jpg,porites
D:\coral_patches\crustose_coralline_algae\3982.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\54869.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\44811.jpg,crustose_coralline_algae
D:\coral_patches\turf\11854.jpg,turf
D:\coral_patches\crustose_coralline_algae\2768.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\58349.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\38811.jpg,crustose_coralline_algae
D:\coral_patches\off\41248.jpg,off
D:\coral_patches\macroalgae\21091.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\24368.jpg,crustose_coralline_algae
D:\coral_patches\off\45686.jpg,off
D:\coral_patches\sand\26502.jpg,sand
D:\coral_patches\sand\2357.jpg,sand
D:\coral_patches\off\41311.jpg,off
D:\coral_patches\crustose_coralline_algae\12031.jpg,crustose_coralline_algae
D:\coral_patches\off\39009.jpg,off
D:\coral_patches\sand\31992.jpg,sand
D:\coral_patches\turf\24760.jpg,turf
D:\coral_patches\turf\50348.jpg,turf
D:\coral_patches\sand\28622.jpg,sand
D:\coral_patches\off\23340.jpg,off
D:\coral_patches\porites\26738.jpg,porites
D:\coral_patches\sand\32982.jpg,sand
D:\coral_patches\off\18246.jpg,off
D:\coral_patches\porites\3335.jpg,porites
D:\coral_patches\off\14219.jpg,off
D:\coral_patches\crustose_coralline_algae\25970.jpg,crustose_coralline_algae
D:\coral_patches\porites\19933.jpg,porites
D:\coral_patches\porites\19290.jpg,porites
D:\coral_patches\macroalgae\8133.jpg,macroalgae
D:\coral_patches\porites\7773.jpg,porites
D:\coral_patches\crustose_coralline_algae\26543.jpg,crustose_coralline_algae
D:\coral_patches\porites\58630.jpg,porites
D:\coral_patches\porites\52854.jpg,porites
D:\coral_patches\porites\532.jpg,porites
D:\coral_patches\porites\19364.jpg,porites
D:\coral_patches\crustose_coralline_algae\52093.jpg,crustose_coralline_algae
D:\coral_patches\porites\59294.jpg,porites
D:\coral_patches\sand\17603.jpg,sand
D:\coral_patches\macroalgae\24213.jpg,macroalgae
D:\coral_patches\sand\17890.jpg,sand
D:\coral_patches\off\42669.jpg,off
D:\coral_patches\off\28483.jpg,off
D:\coral_patches\turf\26091.jpg,turf
D:\coral_patches\porites\44143.jpg,porites
D:\coral_patches\turf\3520.jpg,turf
D:\coral_patches\porites\3532.jpg,porites
D:\coral_patches\porites\26053.jpg,porites
D:\coral_patches\crustose_coralline_algae\40428.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\5334.jpg,macroalgae
D:\coral_patches\porites\48918.jpg,porites
D:\coral_patches\turf\59700.jpg,turf
D:\coral_patches\off\38579.jpg,off
D:\coral_patches\porites\26458.jpg,porites
D:\coral_patches\crustose_coralline_algae\19777.jpg,crustose_coralline_algae
D:\coral_patches\sand\49632.jpg,sand
D:\coral_patches\macroalgae\16769.jpg,macroalgae
D:\coral_patches\off\24776.jpg,off
D:\coral_patches\turf\11894.jpg,turf
D:\coral_patches\turf\41326.jpg,turf
D:\coral_patches\off\3651.jpg,off
D:\coral_patches\sand\8392.jpg,sand
D:\coral_patches\off\9489.jpg,off
D:\coral_patches\macroalgae\47656.jpg,macroalgae
D:\coral_patches\macroalgae\13515.jpg,macroalgae
D:\coral_patches\porites\42359.jpg,porites
D:\coral_patches\off\10293.jpg,off
D:\coral_patches\porites\25739.jpg,porites
D:\coral_patches\crustose_coralline_algae\11227.jpg,crustose_coralline_algae
D:\coral_patches\porites\37756.jpg,porites
D:\coral_patches\sand\55711.jpg,sand
D:\coral_patches\turf\22352.jpg,turf
D:\coral_patches\macroalgae\42287.jpg,macroalgae
D:\coral_patches\porites\3482.jpg,porites
D:\coral_patches\off\38140.jpg,off
D:\coral_patches\turf\23027.jpg,turf
D:\coral_patches\turf\18985.jpg,turf
D:\coral_patches\crustose_coralline_algae\12275.jpg,crustose_coralline_algae
D:\coral_patches\porites\43486.jpg,porites
D:\coral_patches\macroalgae\774.jpg,macroalgae
D:\coral_patches\sand\5591.jpg,sand
D:\coral_patches\porites\40073.jpg,porites
D:\coral_patches\macroalgae\53231.jpg,macroalgae
D:\coral_patches\turf\31548.jpg,turf
D:\coral_patches\macroalgae\18121.jpg,macroalgae
D:\coral_patches\off\55943.jpg,off
D:\coral_patches\turf\46547.jpg,turf
D:\coral_patches\sand\21161.jpg,sand
D:\coral_patches\sand\24848.jpg,sand
D:\coral_patches\turf\5953.jpg,turf
D:\coral_patches\off\30622.jpg,off
D:\coral_patches\off\15061.jpg,off
D:\coral_patches\porites\23482.jpg,porites
D:\coral_patches\macroalgae\29461.jpg,macroalgae
D:\coral_patches\porites\13657.jpg,porites
D:\coral_patches\porites\52776.jpg,porites
D:\coral_patches\crustose_coralline_algae\44662.jpg,crustose_coralline_algae
D:\coral_patches\porites\23266.jpg,porites
D:\coral_patches\porites\58277.jpg,porites
D:\coral_patches\off\292.jpg,off
D:\coral_patches\porites\8780.jpg,porites
D:\coral_patches\off\41842.jpg,off
D:\coral_patches\off\1658.jpg,off
D:\coral_patches\turf\25935.jpg,turf
D:\coral_patches\sand\31459.jpg,sand
D:\coral_patches\crustose_coralline_algae\33157.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\34836.jpg,macroalgae
D:\coral_patches\porites\40351.jpg,porites
D:\coral_patches\turf\33969.jpg,turf
D:\coral_patches\macroalgae\29611.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\58255.jpg,crustose_coralline_algae
D:\coral_patches\porites\7904.jpg,porites
D:\coral_patches\off\58724.jpg,off
D:\coral_patches\crustose_coralline_algae\4314.jpg,crustose_coralline_algae
D:\coral_patches\turf\58112.jpg,turf
D:\coral_patches\macroalgae\47454.jpg,macroalgae
D:\coral_patches\off\39638.jpg,off
D:\coral_patches\sand\46951.jpg,sand
D:\coral_patches\crustose_coralline_algae\59694.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\31713.jpg,crustose_coralline_algae
D:\coral_patches\turf\19816.jpg,turf
D:\coral_patches\porites\43979.jpg,porites
D:\coral_patches\macroalgae\14652.jpg,macroalgae
D:\coral_patches\porites\10232.jpg,porites
D:\coral_patches\crustose_coralline_algae\46537.jpg,crustose_coralline_algae
D:\coral_patches\porites\46034.jpg,porites
D:\coral_patches\crustose_coralline_algae\34504.jpg,crustose_coralline_algae
D:\coral_patches\off\36482.jpg,off
D:\coral_patches\sand\59502.jpg,sand
D:\coral_patches\turf\1543.jpg,turf
D:\coral_patches\porites\8009.jpg,porites
D:\coral_patches\porites\26379.jpg,porites
D:\coral_patches\sand\31739.jpg,sand
D:\coral_patches\macroalgae\18699.jpg,macroalgae
D:\coral_patches\turf\34237.jpg,turf
D:\coral_patches\off\54652.jpg,off
D:\coral_patches\crustose_coralline_algae\36259.jpg,crustose_coralline_algae
D:\coral_patches\turf\23562.jpg,turf
D:\coral_patches\off\58751.jpg,off
D:\coral_patches\sand\18803.jpg,sand
D:\coral_patches\crustose_coralline_algae\22508.jpg,crustose_coralline_algae
D:\coral_patches\sand\49814.jpg,sand
D:\coral_patches\turf\32327.jpg,turf
D:\coral_patches\off\54560.jpg,off
D:\coral_patches\crustose_coralline_algae\59393.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\19807.jpg,macroalgae
D:\coral_patches\turf\46333.jpg,turf
D:\coral_patches\macroalgae\16331.jpg,macroalgae
D:\coral_patches\off\43025.jpg,off
D:\coral_patches\sand\9175.jpg,sand
D:\coral_patches\porites\48000.jpg,porites
D:\coral_patches\porites\43402.jpg,porites
D:\coral_patches\turf\38857.jpg,turf
D:\coral_patches\macroalgae\16221.jpg,macroalgae
D:\coral_patches\off\6108.jpg,off
D:\coral_patches\porites\822.jpg,porites
D:\coral_patches\off\53997.jpg,off
D:\coral_patches\off\23859.jpg,off
D:\coral_patches\turf\5426.jpg,turf
D:\coral_patches\off\40338.jpg,off
D:\coral_patches\turf\44412.jpg,turf
D:\coral_patches\crustose_coralline_algae\48122.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\9578.jpg,macroalgae
D:\coral_patches\sand\38991.jpg,sand
D:\coral_patches\porites\9018.jpg,porites
D:\coral_patches\sand\43028.jpg,sand
D:\coral_patches\sand\21939.jpg,sand
D:\coral_patches\off\38840.jpg,off
D:\coral_patches\crustose_coralline_algae\13416.jpg,crustose_coralline_algae
D:\coral_patches\porites\1699.jpg,porites
D:\coral_patches\turf\32683.jpg,turf
D:\coral_patches\crustose_coralline_algae\59909.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\38442.jpg,macroalgae
D:\coral_patches\turf\17238.jpg,turf
D:\coral_patches\off\18868.jpg,off
D:\coral_patches\macroalgae\38159.jpg,macroalgae
D:\coral_patches\turf\49939.jpg,turf
D:\coral_patches\off\13082.jpg,off
D:\coral_patches\crustose_coralline_algae\19583.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\2736.jpg,crustose_coralline_algae
D:\coral_patches\porites\24819.jpg,porites
D:\coral_patches\crustose_coralline_algae\468.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\1734.jpg,crustose_coralline_algae
D:\coral_patches\sand\11611.jpg,sand
D:\coral_patches\turf\35811.jpg,turf
D:\coral_patches\crustose_coralline_algae\56338.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\35474.jpg,macroalgae
D:\coral_patches\off\59015.jpg,off
D:\coral_patches\crustose_coralline_algae\22799.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\44645.jpg,crustose_coralline_algae
D:\coral_patches\porites\42440.jpg,porites
D:\coral_patches\crustose_coralline_algae\1169.jpg,crustose_coralline_algae
D:\coral_patches\turf\50915.jpg,turf
D:\coral_patches\turf\27606.jpg,turf
D:\coral_patches\off\48899.jpg,off
D:\coral_patches\sand\31399.jpg,sand
D:\coral_patches\turf\33204.jpg,turf
D:\coral_patches\turf\29865.jpg,turf
D:\coral_patches\porites\18514.jpg,porites
D:\coral_patches\porites\52708.jpg,porites
D:\coral_patches\off\11436.jpg,off
D:\coral_patches\off\51016.jpg,off
D:\coral_patches\porites\40713.jpg,porites
D:\coral_patches\sand\51486.jpg,sand
D:\coral_patches\turf\53528.jpg,turf
D:\coral_patches\crustose_coralline_algae\18353.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\13704.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\12794.jpg,macroalgae
D:\coral_patches\porites\18242.jpg,porites
D:\coral_patches\porites\10220.jpg,porites
D:\coral_patches\crustose_coralline_algae\4604.jpg,crustose_coralline_algae
D:\coral_patches\off\56301.jpg,off
D:\coral_patches\turf\51748.jpg,turf
D:\coral_patches\crustose_coralline_algae\28624.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\52573.jpg,crustose_coralline_algae
D:\coral_patches\porites\20456.jpg,porites
D:\coral_patches\sand\40528.jpg,sand
D:\coral_patches\turf\1893.jpg,turf
D:\coral_patches\crustose_coralline_algae\950.jpg,crustose_coralline_algae
D:\coral_patches\sand\10085.jpg,sand
D:\coral_patches\turf\22200.jpg,turf
D:\coral_patches\off\55692.jpg,off
D:\coral_patches\sand\58828.jpg,sand
D:\coral_patches\off\45957.jpg,off
D:\coral_patches\turf\57914.jpg,turf
D:\coral_patches\turf\18355.jpg,turf
D:\coral_patches\porites\2107.jpg,porites
D:\coral_patches\porites\34114.jpg,porites
D:\coral_patches\off\33694.jpg,off
D:\coral_patches\sand\31144.jpg,sand
D:\coral_patches\macroalgae\15464.jpg,macroalgae
D:\coral_patches\turf\58192.jpg,turf
D:\coral_patches\macroalgae\41273.jpg,macroalgae
D:\coral_patches\sand\9686.jpg,sand
D:\coral_patches\porites\25450.jpg,porites
D:\coral_patches\crustose_coralline_algae\46591.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\26190.jpg,macroalgae
D:\coral_patches\turf\31766.jpg,turf
D:\coral_patches\sand\54745.jpg,sand
D:\coral_patches\macroalgae\18324.jpg,macroalgae
D:\coral_patches\macroalgae\37057.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\44038.jpg,crustose_coralline_algae
D:\coral_patches\off\55557.jpg,off
D:\coral_patches\turf\19913.jpg,turf
D:\coral_patches\turf\53844.jpg,turf
D:\coral_patches\off\47256.jpg,off
D:\coral_patches\turf\5004.jpg,turf
D:\coral_patches\crustose_coralline_algae\29455.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\32035.jpg,macroalgae
D:\coral_patches\porites\59691.jpg,porites
D:\coral_patches\sand\40873.jpg,sand
D:\coral_patches\crustose_coralline_algae\14331.jpg,crustose_coralline_algae
D:\coral_patches\turf\32836.jpg,turf
D:\coral_patches\porites\18478.jpg,porites
D:\coral_patches\macroalgae\14525.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\40560.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\31118.jpg,crustose_coralline_algae
D:\coral_patches\turf\53995.jpg,turf
D:\coral_patches\porites\28287.jpg,porites
D:\coral_patches\off\52943.jpg,off
D:\coral_patches\crustose_coralline_algae\48413.jpg,crustose_coralline_algae
D:\coral_patches\off\4936.jpg,off
D:\coral_patches\sand\58200.jpg,sand
D:\coral_patches\macroalgae\30443.jpg,macroalgae
D:\coral_patches\porites\44617.jpg,porites
D:\coral_patches\off\29579.jpg,off
D:\coral_patches\sand\40837.jpg,sand
D:\coral_patches\off\4300.jpg,off
D:\coral_patches\sand\15874.jpg,sand
D:\coral_patches\off\18645.jpg,off
D:\coral_patches\macroalgae\49470.jpg,macroalgae
D:\coral_patches\macroalgae\11650.jpg,macroalgae
D:\coral_patches\macroalgae\51904.jpg,macroalgae
D:\coral_patches\turf\42278.jpg,turf
D:\coral_patches\off\13496.jpg,off
D:\coral_patches\macroalgae\24770.jpg,macroalgae
D:\coral_patches\macroalgae\599.jpg,macroalgae
D:\coral_patches\sand\44795.jpg,sand
D:\coral_patches\sand\29158.jpg,sand
D:\coral_patches\turf\59784.jpg,turf
D:\coral_patches\crustose_coralline_algae\55480.jpg,crustose_coralline_algae
D:\coral_patches\turf\34967.jpg,turf
D:\coral_patches\porites\50914.jpg,porites
D:\coral_patches\off\9006.jpg,off
D:\coral_patches\turf\49123.jpg,turf
D:\coral_patches\sand\10086.jpg,sand
D:\coral_patches\turf\20998.jpg,turf
D:\coral_patches\crustose_coralline_algae\45451.jpg,crustose_coralline_algae
D:\coral_patches\porites\21544.jpg,porites
D:\coral_patches\off\45115.jpg,off
D:\coral_patches\off\24186.jpg,off
D:\coral_patches\porites\56394.jpg,porites
D:\coral_patches\macroalgae\38712.jpg,macroalgae
D:\coral_patches\macroalgae\5606.jpg,macroalgae
D:\coral_patches\macroalgae\27782.jpg,macroalgae
D:\coral_patches\turf\7025.jpg,turf
D:\coral_patches\crustose_coralline_algae\40492.jpg,crustose_coralline_algae
D:\coral_patches\crustose_coralline_algae\19824.jpg,crustose_coralline_algae
D:\coral_patches\porites\3066.jpg,porites
D:\coral_patches\macroalgae\39542.jpg,macroalgae
D:\coral_patches\sand\15370.jpg,sand
D:\coral_patches\crustose_coralline_algae\36409.jpg,crustose_coralline_algae
